Название,Автор,Цена,Описание,Издательство,Год издания,Штрих-код,Количество страниц,Переплет,Размер,Толщина,Вес,Картина
Разбор случаев и техника назначения,Мерфи Р.,"Предлагаемая читателю книга Р.Мерфи составлена по материалам его семинаров, проведенных в Индии. Д-р Мерфи давно и прочно завоевал в гомеопатическом мире репутацию опытного мастера, исследователя, автора прекрасных книг, подробно анализирующих различные аспекты гомеопатии. Книга освещает такие темы, как ""Органон"", жизненная сила, миазмы, здоровье и болезнь с точки зрения гомеопатии, выбор лекарства и потенции, этиология и ее связь с назначениями, работа с пациентом на разных этапах лечения.",11 600 тг,0,Гомеопатическая книга,2010 г.,9785903139224,288,200 мм x 145 мм,22 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5002165_1324125.jpeg
Самодиагностика в вопросах и ответах,Петренко В.В.,"""Читаю ваши письма и задумываюсь об общей нашей безграмотности, об отсутствии уважения к своему собственному организму. Все привыкли считать, что выпил таблетку или заварил травку - и стал здоровым. Но, к сожалению, такого не бывает. Мне часто задают вопрос: как жить, чтобы не болеть? И я отвечаю: жить в согласии со Вселенной. Если знать физиологию человека, то можно научиться управлять сердцем, легкими, печенью, почками и т.д. То есть уметь подстраиваться к изменяющимся условиям Вселенной, а вернее, уметь правильно жить. Умение - это знание"" (В. Петренко). С книгами новой серии ""Лучшие советы целителей"" вы обретете надежный источник знаний о диагностике, эффективных, но щадящих способах лечения и поддержания своего здоровья на самом высоком уровне. Лучшие советы целителей - счастливый шанс долгой и полноценной жизни. Данная книга не является учебником по медицине все рекомендации, приведенные в ней, следует использовать только после согласования с лечащим врачом.",900 тг,4,Амрита-Русь,2017 г.,9785000539798,144,Мягкий,165 мм x 107 мм,110 г.,http://www.bookcity.kz/content/images/thumbs/5064232_1404590.jpeg
Самомассаж. Здоровье и хорошее самочувствие своими руками,Гольдин Э.,"В этой книге обобщены результаты многолетних наблюдений и практического опыта трех врачей, двое из которых - кандидаты медицинских наук. Простой язык и многочисленные иллюстрации позволят всем желающим без труда освоить основные и вспомогательные приемы массажа и научиться собственными силами успешно противостоять всевозможным болезненным состояниям. Авторы наблюдали хорошие результаты применения рекомендуемых схем самомассажа многочисленными пациентами, которым удавалось собственными усилиями улучшить качество жизни, поддерживать хорошее самочувствие и успешно трудиться.
Книга может быть рекомендована всем, кто уже понял, что для поддержания жизненного тонуса на высоком уровне только медикаментозного лечения будет недостаточно, и потому решил взять свое здоровье в собственные руки и готов затратить определенное время и усилия для достижения физической и душевной гармонии.",2 400 тг,2,Диалектика,2018 г.,978584592143716113,Мягкий,8 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5120146_1452958.jpeg
"Свобода от зависимости. Что семья должна знать о наркотиках, азартных играх и виртуальной реальности",Кругляк Л.,"Более подробную информацию о книгах, вошедших в комплект, вы сможете узнать, пройдя по ссылкам: "" Второй шанс счастья. О чем надо помнить, прежде чем еще раз создать семью"" , "" Алкоголизм - радость, или Тяжелая болезнь"" , "" Свобода от зависимости. Что семья должна знать о наркотиках, компьютерных и азартных играх"" .",2 500 тг,0,Весь,2015 г.,9785957327493,1008,Мягкий,200 мм x 130 мм,335 г.,http://www.bookcity.kz/content/images/thumbs/5080958_1419888.jpeg
Секреты восточной медицины. Чудо исцеления своими руками,Осипов В.О,"Эта книга - удивительная. Ее написал человек, знающий, что такое отчаяние. Молодой и полный сил, но прикованный к постели или инвалидному креслу, он начал поиск средств излечения - и нашел их в недрах древней китайской медицины. Сейчас Владимир Осипов здоров, активно практикует искусство Тайцзицюань разных стилей, ведет семинары и тренинги.В книге ""Секреты восточной медицины"" собраны результаты его 15-летних поисков и просеивания огромного количества информации, апробирования систем Цигун и Тайцзи, которым он обучался у настоящих китайских мастеров.Вы узнаете о том, как снять острую боль, остановить утечку энергии и самостоятельно отрегулировать ее поступление как с помощью правильно подобранных техник быстро восстановиться даже при тяжелейших патологиях внутренних органов, которые безуспешно лечились годами. Как привлечь на свою сторону природные стихии, научиться исцеляющему дыханию, создать ""пуленепробиваемый иммунитет"" и даже помолодеть.В книгу включены любопытные эпизоды о жизни автора в Китае, повседневных привычках его обитателей, традициях сохранения здоровья, бодрости и долголетия. Связь здорового образа жизни с философскими воззрениями этого народа представлена просто и доступно. Здесь приведены многочисленные статические и динамические практики, а также отзывы тех, кто применял их на тренингах и вебинарах Владимира Осипова.Пробуйте! Вы стоите на пути удивительных перемен.",4 500 тг,0,Омега-Л,2018 г.,9785370042201,260,Твердый,215 мм x 145 мм,380 г.,http://www.bookcity.kz/content/images/thumbs/5122580_1455320.jpeg
Секреты даосского массажа,Медведевы А. и И.,"Александр и Ирина Медведевы - авторы широко известные не только в России, но и в странах Западной Европы.  Книги  серии  ""Технология счастья"", выдержавшие многократные переиздания, помогли многим людям разобраться со своими внутренними   проблемами, повысить жизненный тонус и укрепить нервную систему, расширить пределы своих возможностей и сделать свою жизнь гораздо более насыщенной и удовлетворяющей.  Предложенные в этой книге упражнения,  психотехники и  методы формирования гармоничной личности основываются на учении тайного, даосского клана Шоу-Дао. Эти психотехники, в древности использовавшиеся для ускоренной подготовки воинов, позволяют не только быстро адаптироваться к изменяющимся ситуациям и справляться со стрессом, но и пребывать в гармонии с самим собой и с окружающим миром, наслаждаясь самим фактом своего существования.",1 500 тг,0,Амрита-Русь,2018 г.,9785000532935,192,Мягкий,200 мм x 130 мм,165 г.,http://www.bookcity.kz/content/images/thumbs/5111750_1445323.jpeg
Секреты оздоровления,Малахов Г.П.,"Как изменение рациона может изменить вашу жизнь? Сможет ли медитация заменить лекарство? Как использовать силу лунных фаз на благо своего организма? Обо всем этом и о многих других секретах оздоровления поведает в своей книге классик естественного оздоровления, популярный телеведущий Геннадий Петрович Малахов. Вы узнаете о том, как правильно проводить сокотерапию, снизить уровень холестерина, избавиться от головной боли, вывести камни из почек, а также о том, как вылечить практически любое заболевание с помощью сбалансированного питания.",700 тг,4,Крылов,2009 г.,9785971707806,192,Мягкий,200 мм x 130 мм,126 г.,http://www.bookcity.kz/content/images/thumbs/5017947_1339522.jpeg
Система каналов и коллатералей китайской медицины,Белоусов П.В.,"Данное издание является второй книгой серии «Китайская чжэньцзю-терапия». Книга составлена путем перевода с китайского официальных учебных материалов институтов китайской медицины системы высшего образования КНР, в первую очередь серии печатных изданий Института китайской медицины г. Тяньцзин, материалов Интернет-сайта Института китайской медицины г. Наньцзин.В ходе работы использовались справочные издания на китайском языке, в частности, «Чжэнь цзю да цы дянь» (Большой словарь иглоукалывания и прижигания, 1987 г.), «Чжун и да цы дянь» (Большой словарь китайской медицины, 1995 г.), а также многочисленные комментарии и толкования понятий китайской медицины из различных источников.В книге описаны элементы системы каналов и коллатералей китайской медицины — двенадцать главных каналов, восемь сосудов, ответвления двенадцати каналов, пятнадцать коллатералей, мышцы двенадцати каналов, кожные зоны, приводятся сведения об их основных функциях, а также о таких понятиях китайской медицины, как «вершины» и «корни», «основания» и «средоточия» двенадцати каналов, «улицы Ци» и «четыре моря».",2 500 тг,5,Алматы,2010 г.,2200002967877,Мягкий,26 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5068042_1407710.jpeg
Специальные техники акупунктуры и прижигания,Шнорренбергер К.,Техники укалывания и прижигания - это два различных лечебных метода китайской медицины.,7 900 тг,0,Balbe,2018 г.,9785880750344,314,Твердый,20 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5119719_1452535.jpeg
Таппинг. Древняя китайская методика акупрессуры и современная психология для здоровья и исполнения желаний (светлая),Ортнер Н.,"Освободитесь от стресса, тревоги и всего, что вас ограничивает, одним движением руки – при помощи целительной техники таппинга, и ваша жизнь станет именно такой, как вам хотелось бы! Таппинг, также известный как техника эмоциональной свободы (ТЭС), объединяет в себе древнее искусство акупрессуры и достижения современной психологии. Воздействуя на определенные меридианные точки тела легким постукиванием пальцев, вы сосредотачиваетесь на своих эмоциях, физических ощущениях и озвучиваете их. Таким образом таппинг успокаивает нервную систему, восстанавливает баланс энергии в теле, ""перезагружает"" мозг и дает возможность справиться с целым рядом проблем: от тревожности, хронической боли, страхов и вредных привычек до лишнего веса, сложных отношений и нехватки денег. Пошаговые инструкции и специальные упражнения, разработанные психологом и специалистом по таппингу Ником Ортнером, позволят вам без труда освоить эту технику. Всего пара минут, чтобы запомнить порядок действий – и вы сможете заниматься когда и где угодно, получая мгновенный результат.",3 900 тг,1,Эксмо,2019 г.,9785040994298,Мягкий,20 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5128575_1461056.jpeg
Твист Гимнастика.,Пак Чже ву,"В книге ""Твист гимнастика"" представлены Триначальные комплексы скручивающих (твист) упражнений, предназначенных для активизации спиральной энергетической Нейтросети различных частей человеческого тела. Основанные на фундаментальном принципе Триначалия гармоничные движения твист гимнастики позволяют в короткое время добиться значительного повышения уровня жизненной энергии, восстановления иммунитета организма, оказывают лечебно-профилактическое действие, способствуют улучшению кровообращения, общего самочувствия и настроения. Регулярное использование элементов твист гимнастики помогает человеку достичь гармонии разума и тела, надежно поддерживать физическое и психическое здоровье.  Книга предназначена для реабилитологов, семейных врачей, врачей ЛФК, специалистов в области массовой физической культуры и спорта, а также для широкого круга читателей, интересующихся немедикаментозными методами самовосстановления и самосовершенствования, раскрытия резервных способностей человеческого организма.",2 000 тг,1,Су Джок Академия,2004 г.,4607073540011,7 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5040324_1362872.jpeg
Темнобарионная сущность человека,Непокойчицкий Г.А.,"Книга ""Темнобарионная Сущность Человека"" является результатом многолетнего творческого труда доктора Нэвереста и Г.А. Непокойчицкого. Их совместная работа началась в союзе с Людмилой Григорьевной Пучко – автором уникальной методики самопознания, самодиагностики и самоисцеления – Многомерной медицины. Все логические обоснования сущности человека базируются на последних достижениях физики (доказано, что темнобарионная материя существует) и фактах, показывающих ее проявление на протяжении всей известной нам истории. Цель данной книги – простым языком донести до читателя, что: – таинственный параллельный (тонкий, духовный) Мир (созданный из темнобарионной материи) находится прямо в нашем трехмерном земном Мире (созданном из барионной материи). – человек является одновременно жильцом двух Миров – Земного и Духовного. – сущность и пол человека определяются его ""Духовной частицей"" (""Вечным Высшим Я""), созданной из темнобарионной материи.",8 800 тг,0,АСТ,2019 г.,9785171088057,Твердый,34 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5129480_1461936.jpeg
"Теория диагностики по ""И Цзин""",Давыдов М.А.,"Эта книга является продолжением темы, посвященной изучению вопросов традиционной китайской медицины в свете учения ""Книги перемен"" (И Цзин), которая, как известно, представляет собой всеобъемлющий источник знаний китайской цивилизации. История соединения принципов И Цзин с китайской медициной берет свое начало в эпоху Чунь цю (8-5 в.в. до н.э.), времени, когда этот ""союз"" и получил обозначение - медицинская ицзинистика. Учение медицинской ицзинистики отражает сущность китайской медицины, использующей все основополагающие принципы китайской натурфилософии. Представленная в книге информация по медицинской ицзинистике распределена по 4-м главам. Первая глава посвящена философии 8-ми символов И Цзин, астрономическим и космологическим аспектам - Полярной звезды и Северного Ковша Большой Медведицы, а также различным календарным системам древнего Китая. Вторая глава освещает основные вопросы медицинской ицзинистики, в частности - это теоретические и практические аспекты чжэнь цзю терапии,...",3 300 тг,0,Золотое сечение,2009 г.,9785910780921,340,Мягкий,215 мм x 145 мм,345 г.,http://www.bookcity.kz/content/images/thumbs/5047100_1367987.jpeg
Терапия су-джок. Азы самомассажа,Шри Рой,"Су-джок - одно из направлений рефлексотерапии, в основе которой лежит воздействие на биологически активные точки на теле человека. Система су-джок направлена на работу с двумя зонами - руками и стопами. В своей книге Шри Рой подробно описывает, на какие точки и каким образом необходимо воздействовать в том или ином случае.Терапия су-джок подтвердила свою эффективность в лечении большого спектра заболеваний - от остеохондроза, депрессии и хронического алкоголизма до болезней уха, горла, носа, глаз, сердечно-сосудистой системы и многих других. Использование терапии су-джок помогает, а зачастую играет решающую роль, в повышении иммунных функций организма, улучшении эндокринной регуляции, снижении патологических (например, аллергических) реакций организма.Все, что вам потребуется для самостоятельной работы, - это ваши глаза и руки.",1 600 тг,5,Весь,2018 г.,9785957332787,128,Мягкий,210 мм x 130 мм,140 г.,http://www.bookcity.kz/content/images/thumbs/5113386_1446618.jpeg
Тибетская медицина,Церин П.,"Тибетская медицина обладает рядом несомненных преимуществ. Это щадящее воздействие на организм, так как коррекция производится при помощи натуральных средств эффективность лечения и долгосрочный результат оздоровление всего организм в целом при использовании тибетских методик.Автор книги - известный практикующий врач - предлагает читателям воспользоваться проверенными веками тибетскими методиками оздоровления.В книге представлены принципы диагностики, восстановления и сохранения здоровья, правила коррекции режима питания, методика проведения точечного массажа и рецепты для восстановления глубоких слоев кожи.Вы сможете достичь крепкого здоровья и долголетия, раскрыв все тайны тибетской медицины.",1 900 тг,3,Эксмо,2018 г.,9785699964741,384,Твердый,200 мм x 130 мм,315 г.,http://www.bookcity.kz/content/images/thumbs/5104183_1440611.jpeg
Тибетская медицина. Секреты правильного питания,Кунга П.,"Правильное питание должно приносить пользу телу, ясность уму и увеличивать жизненные силы человека. Не это ли хочет каждый?Легендарная тибетская система питания, с которой вы познакомитесь,  поможет вернуть здоровье и значительно увеличить качество вашей жизни. Книга написана известным практикующим врачом, автором книг и статей по тибетской медицине. Автор открывает тонкую взаимосвязь элементов в привычных пищевых продуктах. Благодаря подробному изложению традиционная восточная диетология становится понятной и доступной. Теперь приготовление еды превращается в пищу для ума и настоящее творчество на долгие годы активной жизни.Завтраки, обеды и ужины принесут радость осмысленной заботы о здоровье близких.",2 200 тг,3,Эксмо,2018 г.,9785040937035,272,Твердый,1 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5119332_1452184.jpeg
Точечный самомассаж в спортивном зале,Усакова Н.А.,"Если вы регулярно занимаетесь гимнастическими упражнениями (аэробикой, атлетической гимнастикой, у-шу, цигун, тэквон-до), повысить эффективность каждого занятия поможет точечный массаж, выполненный до и после выбранного вами комплекса упражнений.",2 800 тг,0,Тигле,2017 г.,9785903558216,64,Мягкий,5 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5122017_1454789.jpeg
Учебник китайской медицины для западных врачей: Теоретические основы китайской акупунктуры,Шнорренбергер Клаус К.,"Воспроизведено в оригинальной авторской орфографии издания 1889 года (издательство ""E.R. Andrews, Printer"").",9 000 тг,1,Balbe,2015 г.,9785880750481,159,Твердый,240 мм x 170 мм,880 г.,http://www.bookcity.kz/content/images/thumbs/5070761_1410482.jpeg
Феномен ЭКИВО,Чжан Инцин,"В книгу вошли переводы с английского языка основных статей, работ, материалов международных конгрессов по ЭКИВО. В этой работе, учитывая специфичность материала, мы старались максимально придерживаться оригинала текста Инцин Чжан, оставляя простор для творческой мысли читателей. Объем представленного материала строго соответствует рекомендациям профессора Инцин Чжан.",2 900 тг,2,Профит Стайл,2018 г.,9785988570424,240,Мягкий,210 мм x 150 мм,208 г.,http://www.bookcity.kz/content/images/thumbs/5122826_1455562.jpeg
Фитотерапия в традиционной китайской медицине,Миконенко А.Б.,"В настоящее время традиционная китайская медицина делится на 9 специализированных областей: терапию, внешнюю медицину, гинекологию, педиатрию, офтальмологию, ларингологию, ортопедию, массаж и акупунктуру. Каждая из этих областей охватывает большой объем знаний, который должен изучаться особо в качестве врачебной специальности. Все эти различные специальные области имеют общую теоретическую основу. Не выделяясь как самостоятельное направление, фитотерапия является важной частью любого направления традиционной китайской медицины и используется в качестве вспомогательного средства для усиления терапевтического воздействия того или иного метода, а также для прямого лечения. Применение лекарственных растений тесно связано с историческими традициями народностей Китая и в том числе с культурой питания. Эта книга будет интересна как практикующему специалисту, так и...",9 200 тг,2,Профит Стайл,2016 г.,9785988573593,304,Твердый,240 мм x 170 мм,630 г.,http://www.bookcity.kz/content/images/thumbs/5092819_1430729.jpeg
Хроники радиэстезического самопознания. Новые возможности многомерной медицины,По-Перечный В.,"Книга Виктора По-Перечного «Хроники радиэстезического самопознания» представляет собой яркий пример творческого развития Многомерной медицины, раскрытия ее новых возможностей. Основы Многомерной медицины - уникальной системы самопознания, самодиагностики и самоисцеления человека - были заложены нашей гениальной соотечественницей Людмилой Григорьевной Пучко. Данная книга, по сути, автобиографичная, автор в художественной форме описывает свой нелегкий путь переосмысливания прожитой жизни и картины мироустройства. От атеизма до православия, от грехопадения до покаяния и осознания того, что за все в этом мире надо платить (не обязательно деньгами), расплачиваться часто приходится и здоровьем. В.По-Перечный честно описывает тот тяжелейший путь, который ему довелось пройти, пока методами Многомерной медицины он не победил такие страшнейшие заболевания, как болезнь Альцгеймера хроническую пневмонию с полным разложением легкого и слипанием его с плеврой бронхиты, перешедшие в...",4 000 тг,1,АСТ,2016 г.,9785170943135,368,Твердый,215 мм x 145 мм,615 г.,http://www.bookcity.kz/content/images/thumbs/5082135_1420841.jpeg
Целительное дыхание для вашего здоровья,Малахов Г.П.,"Без дыхания невозможна жизнь ни одного живого существа на Земле. Чистые здоровые легкие - залог хорошего самочувствия, правильного обмена веществ и свежего цвета лица. Ведь легкие являются не только органом дыхания, но и выделения, регуляции температуры тела и даже принимают участие в выработке физиологически активных веществ, участвующих в регуляции свертывания крови, обмена белков, жиров и углеводов.",500 тг,1,Невский проспект,2007 г.,9785971704300,192,Мягкий,200 мм x 130 мм,130 г.,http://www.bookcity.kz/content/images/thumbs/5039465_1362018.jpeg
Что мы пьем? Правда о воде,Кибардин Г.,"Наш организм на 80% состоит из воды, запас которой постоянно требует пополнения. Вопрос только в качестве и количестве потребляемой жидкости. То, что льется из крана, порой, не только не годится в пищу, но и опасно для нашего здоровья.",1 400 тг,0,Амрита-Русь,2016 г.,9785000532430,96,Мягкий,200 мм x 130 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5059272_1400331.jpeg
Чудесные меридианы. Аурикулярная терапия,Усакова Н.А.,"Одним из эффективных древнекитайских методов рефлексотерапии является лечение с использованием, так называемых чудесных меридианов (ЧМ), которые существуют помимо постоянных классических меридианов. Восемь непостоянных чудесных меридианов, которые называют также экстраординарными, удивительными, ""сосудами май"", чудесными сосудами, образуются благодаря внутренним ходам, коллатералям и анастомозам. Название чудесных меридианов, очевидно, обусловлено тем, что при многих хронических заболеваниях, трудно поддающихся лечению традиционными методами, воздействие на эти меридианы оказывается высокоэффективным, а результаты лечения бывают неожиданными и для врача, и для пациента. Наименование чудесных меридианов связано с их действием и областями тела, где они начинаются и проходят. Чудесный меридиан I (контролирующий) ""контролирует"" все янские меридианы. Чудесный меридиан V (""меридиан зачатия"") контролирует все иньские меридианы. Чудесный меридиан VIII (поднимающий) поднимается снизу...",3 600 тг,4,Тигле,2014 г.,9785903558131,32,Мягкий,290 мм x 220 мм,109 г.,http://www.bookcity.kz/content/images/thumbs/5007863_1331227.jpeg
Шунгит и его целебные свойства,Кибардин Г.,"Шунгит лечит, спасает, очищает, оздоравливает, защищает, нормализует, восстанавливает и даже выращивает. Удивительная порода: все, что вредит людям и живым существам, она убивает и поглощает, а все, что полезно, - концентрирует и восстанавливает. Ученые, исследовавшие шунгит, в один голос заявляют: это чудо! Данная книга не является учебником по медицине все рекомендации, приведенные в ней, следует использовать только после согласования с лечащим врачом.",800 тг,0,Амрита-Русь,2018 г.,9785413008973,48,Мягкий,200 мм x 130 мм,25 г.,http://www.bookcity.kz/content/images/thumbs/5035325_1357438.jpeg
Энергетическая медицина,"Иден Д., Фейнштейн Д.","Автор показывает, как работать с энергетическими системами своего тела, чтобы повысить жизненный тонус и развить выносливость, укрепить иммунную систему, избавиться от недомогания и боли, развить мышление и память, улучшить общее состояние здоровья при помощи ежедневной пятиминутной энергетической практики. Книга дополнена информацией, обобщающей опыт работы Донны Идеи с пациентами и студентами на протяжении последнего десятилетия, а также новым разделом об энергетических техниках, помогающих защитить и исцелить организм при операциях, химиотерапии и других инвазивных медицинских процедурах.",6 800 тг,1,Попурри,2019 г.,9789851539686,Мягкий,15 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5129612_1462052.jpeg
"Энергии в мире. Как их ощущать, понимать и использовать",Сафо Л.,"В комплект входят 2 одинаковые книги. Книга Лели Сафо посвящена миру энергий. Все, включая человека, состоит из различных энергий: Огонь, Воздух, Вода, Земля, Эфир, Свет, Тьма. Энергия - повсюду. В первой части книги объясняются законы устройства Вселенной. Мир - энергетическая матрица, которая подобно сети опутывает планету, простираясь бесконечно далеко во Вселенную. Человеку для счастливой и комфортной жизни необходимо соблюдать баланс энергий в теле, с уважением относиться к природным стихиям и деликатно взаимодействовать с окружающей средой. Особенно важно следить за своим эмоциональным состоянием, обращать внимание на истинные потребности души, которая является сгустком энергии Света. Чистый белый Свет - это Источник, из которого берут начало все энергии, и именно туда, словно домой, стремятся попасть все души. Однако это возможно только после решения всех кармических задач. Во второй части речь пойдет о карме и кармической матрице, а также о способах...",4 100 тг,1,Весь,2017 г.,9785957331803,384,Твердый,215 мм x 145 мм,315 г.,http://www.bookcity.kz/content/images/thumbs/5103253_1439734.jpeg
Энергоинформационные методы лечения в народной медицине,Непокойчицкий Г.А.,"Предлагаемая читателю книга ""Энергоинформационные методы лечения в народной и Многомерной медицине"" может быть полезна и интересна всем, кто заинтересован в сохранении и укреплении как своего здоровья, так и здоровья близких ему людей. В ней представлены самые разнообразные методы энергоинформационного целительства. На жизнь и здоровье человека оказывают влияние как всевозможные предметы, так и разнообразные явления природы: символы, числа, пространственные фигуры, энергетика места жительства, день и время рождения, растительный и животный мир, цвет, запах, слова, звуки и музыка, а также энергоинформационные свойства воды, земли, глины, драгоценных камней и минералов, меда, мумиё и т.д. Отдельно рассматривается энергоинформационная диагностика, которая позволяет по типу конституции, пульсу, лицу, глазам, ушам, языку, ладоням оценить состояние здоровья человека и определить еще не проявившиеся заболевания. Книга предназначена для широкого круга читателей. Она поможет...",7 200 тг,1,АСТ,2016 г.,9785170982677,720,Твердый,240 мм x 170 мм,1060 г.,http://www.bookcity.kz/content/images/thumbs/5091760_1429697.jpeg
Этюды мануальной медицины. 2-е изд. (дополненное и переработанное),Артимошин В.,"В книге, несмотря на позицию, отличающуюся от большинства современных тенденций в мануальной медицине, представлена новация - два защищенных патентами на изобретение диагностико-терапевтических способа. Оба способа представляют собой результат поиска целостного видения и воздействия в мануальной медицине. Философско-методологической основой и орудием этого поиска автором использована интерпретация натурфилософских воззрений терапевтических традиций, как Востока, так и Запада.",4 900 тг,0,Профит Стайл,2015 г.,9785988573142,480,Твердый,200 мм x 130 мм,490 г.,http://www.bookcity.kz/content/images/thumbs/5074888_1414152.jpeg
